"idhod","hodnota","stapro_kod","pohlavi_cis","pohlavi_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","casref_od","casref_do","stapro_txt","pohlavi_txt","vek_txt","vuzemi_txt"
"763510437","32.0722494784735","5411","102","1","7700","410045610046000","65","2121","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Rakovník"
"763510436","75.6182218021849","5411","102","1","7700","400000600001000","65","2121","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Rakovník"
"763510442","77.2789437637614","5411","102","1","7700","400000600001000","65","2122","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Říčany"
"763510446","38.3544922868961","5411","102","2","7700","410045610046000","65","2122","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Říčany"
"763510444","16.5574580127169","5411","102","1","7700","410065610066000","65","2122","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Říčany"
"763510443","33.6636436295756","5411","102","1","7700","410045610046000","65","2122","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Říčany"
"763510447","19.9696121759406","5411","102","2","7700","410065610066000","65","2122","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Říčany"
"763510445","82.7247791090752","5411","102","2","7700","400000600001000","65","2122","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Říčany"
"763510452","37.111436090117","5411","102","2","7700","410045610046000","65","2123","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Sedlčany"
"763510449","32.4091152668966","5411","102","1","7700","410045610046000","65","2123","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Sedlčany"
"763510451","81.0458847545724","5411","102","2","7700","400000600001000","65","2123","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Sedlčany"
"763510450","15.9403663566856","5411","102","1","7700","410065610066000","65","2123","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Sedlčany"
"763510453","18.8830240020542","5411","102","2","7700","410065610066000","65","2123","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Sedlčany"
